2023-11-10 14:50:46.259 [info] Log level: Info
2023-11-10 14:50:46.259 [info] Validating found git in: "git"
2023-11-10 14:50:46.259 [info] Using git "2.34.1" from "git"
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [11ms]
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [0ms]
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [0ms]
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 14:50:46.259 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 14:50:46.260 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 14:50:46.260 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 14:54:28.244 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 14:58:41.739 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 15:02:58.854 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 15:14:06.585 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:14:13.523 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:14:45.936 [info] > git rev-parse --show-toplevel [9ms]
2023-11-10 15:15:03.323 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 15:15:19.674 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 15:15:20.795 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:16:23.799 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 15:16:25.345 [info] > git rev-parse --show-toplevel [11ms]
2023-11-10 15:16:28.231 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 15:16:29.712 [info] > git rev-parse --show-toplevel [6ms]
2023-11-10 15:17:57.125 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 15:20:45.135 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:23:25.976 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:23:28.427 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 15:23:32.691 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:24:33.468 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 15:24:46.656 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 15:24:47.820 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:28:27.005 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:29:10.324 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 15:29:13.571 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:29:15.019 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:29:29.788 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:29:36.386 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 15:29:37.498 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:33:42.542 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:33:54.161 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:35:32.143 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 15:35:37.892 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:38:55.344 [info] > git rev-parse --show-toplevel [20ms]
2023-11-10 15:38:56.825 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 15:39:17.798 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 15:39:19.949 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:39:22.388 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:39:30.283 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:39:30.966 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:39:32.042 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 15:41:23.464 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:41:25.712 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:42:28.859 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 15:42:39.335 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:42:42.991 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 15:42:50.888 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:42:57.202 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 15:42:58.726 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:43:34.887 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:43:44.446 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 15:43:59.799 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 15:57:44.218 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 15:58:04.666 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 15:58:15.044 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 15:58:25.666 [info] > git rev-parse --show-toplevel [1ms]
2023-11-10 15:58:39.054 [info] > git rev-parse --show-toplevel [6ms]
2023-11-10 15:59:49.998 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 15:59:54.631 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 16:00:24.417 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 16:01:08.097 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 16:01:09.888 [info] > git rev-parse --show-toplevel [8ms]
2023-11-10 16:01:20.026 [info] > git rev-parse --show-toplevel [5ms]
2023-11-10 16:01:21.814 [info] > git rev-parse --show-toplevel [2ms]
2023-11-10 16:01:22.878 [info] > git rev-parse --show-toplevel [3ms]
2023-11-10 16:01:28.838 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 16:01:38.529 [info] > git rev-parse --show-toplevel [4ms]
2023-11-10 16:01:39.050 [info] > git rev-parse --show-toplevel [4ms]
