2023-12-01 17:07:49.378 [info] Log level: Info
2023-12-01 17:07:49.378 [info] Validating found git in: "git"
2023-12-01 17:07:49.471 [info] Using git "2.34.1" from "git"
2023-12-01 17:07:49.571 [info] > git rev-parse --show-toplevel [88ms]
2023-12-01 17:07:49.582 [info] > git rev-parse --show-toplevel [3ms]
2023-12-01 17:07:49.588 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:07:49.592 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:07:49.597 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:07:49.602 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:07:49.607 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:07:49.612 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:07:49.618 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:07:49.625 [info] > git rev-parse --show-toplevel [2ms]
2023-12-01 17:07:49.630 [info] > git rev-parse --show-toplevel [2ms]
2023-12-01 17:07:49.634 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:09:01.621 [info] > git rev-parse --show-toplevel [0ms]
2023-12-01 17:12:33.782 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:13:04.403 [info] > git rev-parse --show-toplevel [2ms]
2023-12-01 17:13:33.969 [info] > git rev-parse --show-toplevel [1ms]
2023-12-01 17:17:19.864 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:18:09.385 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 17:18:24.844 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:23:15.094 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:23:35.442 [info] > git rev-parse --show-toplevel [3ms]
2023-12-01 17:23:44.131 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:23:51.957 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 17:24:38.201 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 17:24:44.345 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:28:17.930 [info] > git rev-parse --show-toplevel [6ms]
2023-12-01 17:32:46.132 [info] > git rev-parse --show-toplevel [2ms]
2023-12-01 17:37:50.986 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 17:37:51.556 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:38:09.729 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 17:40:45.143 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 17:42:54.168 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 17:43:22.051 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:43:32.197 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:43:38.953 [info] > git rev-parse --show-toplevel [6ms]
2023-12-01 17:43:45.928 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 17:52:59.079 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:53:07.370 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:53:24.626 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 17:53:30.398 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 18:00:12.668 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 18:02:14.443 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 18:02:19.936 [info] > git rev-parse --show-toplevel [3ms]
2023-12-01 18:02:19.946 [info] > git rev-parse --show-toplevel [2ms]
2023-12-01 18:02:23.836 [info] > git rev-parse --show-toplevel [3ms]
2023-12-01 18:08:28.487 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 18:09:23.988 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 18:09:50.686 [info] > git rev-parse --show-toplevel [3ms]
2023-12-01 18:10:04.143 [info] > git rev-parse --show-toplevel [4ms]
2023-12-01 18:18:12.525 [info] > git rev-parse --show-toplevel [5ms]
2023-12-01 18:18:18.305 [info] > git rev-parse --show-toplevel [3ms]
2023-12-01 18:32:57.378 [info] > git rev-parse --show-toplevel [8ms]
