2023-10-20 17:30:16.244 [info] Log level: Info
2023-10-20 17:30:16.244 [info] Validating found git in: "git"
2023-10-20 17:30:17.157 [info] Using git "2.34.1" from "git"
2023-10-20 17:30:17.712 [info] > git rev-parse --show-toplevel [287ms]
2023-10-20 17:30:17.722 [info] > git rev-parse --show-toplevel [2ms]
2023-10-20 17:30:17.731 [info] > git rev-parse --show-toplevel [2ms]
2023-10-20 17:30:17.735 [info] > git rev-parse --show-toplevel [1ms]
2023-10-20 17:30:17.739 [info] > git rev-parse --show-toplevel [1ms]
2023-10-20 17:30:17.744 [info] > git rev-parse --show-toplevel [1ms]
2023-10-20 17:30:17.748 [info] > git rev-parse --show-toplevel [1ms]
2023-10-20 17:30:17.752 [info] > git rev-parse --show-toplevel [1ms]
2023-10-20 17:30:17.757 [info] > git rev-parse --show-toplevel [1ms]
2023-10-20 17:30:17.761 [info] > git rev-parse --show-toplevel [1ms]
2023-10-20 17:30:17.765 [info] > git rev-parse --show-toplevel [1ms]
2023-10-20 17:30:17.769 [info] > git rev-parse --show-toplevel [1ms]
2023-10-20 17:33:06.493 [info] > git rev-parse --show-toplevel [2ms]
2023-10-20 17:33:13.831 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:34:24.847 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:34:31.588 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:34:44.188 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:34:53.677 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 17:35:14.318 [info] > git rev-parse --show-toplevel [2ms]
2023-10-20 17:36:25.097 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:36:28.195 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:36:28.729 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:36:33.372 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:36:46.236 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:37:28.709 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 17:38:30.519 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:38:59.994 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:41:29.940 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:41:43.486 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:41:44.085 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:41:52.491 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:42:48.496 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:42:55.444 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:43:06.243 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:43:14.047 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:43:17.595 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:43:18.592 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:44:18.415 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:44:19.091 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:45:37.715 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:45:45.138 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 17:46:07.682 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:46:24.717 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 17:46:25.848 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 17:47:14.173 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 17:47:38.957 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:48:19.137 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 17:48:26.900 [info] > git rev-parse --show-toplevel [2ms]
2023-10-20 17:48:33.017 [info] > git rev-parse --show-toplevel [10ms]
2023-10-20 17:48:34.689 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:48:53.390 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:49:05.061 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:49:10.250 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:49:24.589 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:49:52.693 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:50:10.050 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 17:50:15.182 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:51:32.586 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:51:34.713 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:51:38.453 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:52:24.915 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:55:03.632 [info] > git rev-parse --show-toplevel [6ms]
2023-10-20 17:55:18.755 [info] > git rev-parse --show-toplevel [6ms]
2023-10-20 17:55:29.078 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:57:06.487 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:57:17.374 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:57:41.333 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:58:03.035 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:58:04.175 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:58:28.446 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 17:58:55.530 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:59:05.160 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:59:15.008 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:59:17.866 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 17:59:21.496 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 17:59:37.901 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:00:11.830 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:00:29.286 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:00:55.797 [info] > git rev-parse --show-toplevel [11ms]
2023-10-20 18:01:01.505 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:01:12.986 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:01:13.353 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:01:17.438 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:01:37.426 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:01:40.614 [info] > git rev-parse --show-toplevel [6ms]
2023-10-20 18:01:43.573 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:01:52.475 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:01:56.407 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 18:02:08.501 [info] > git rev-parse --show-toplevel [2ms]
2023-10-20 18:02:18.690 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:02:33.324 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 18:02:38.293 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:02:51.095 [info] > git rev-parse --show-toplevel [7ms]
2023-10-20 18:02:55.460 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 18:03:34.924 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:03:38.581 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 18:03:58.180 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 18:04:07.220 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:04:36.219 [info] > git rev-parse --show-toplevel [3ms]
2023-10-20 18:04:57.852 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:05:04.313 [info] > git rev-parse --show-toplevel [5ms]
2023-10-20 18:06:15.151 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:06:22.058 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:06:23.229 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:06:32.621 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:07:23.596 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:08:54.812 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:13:27.306 [info] > git rev-parse --show-toplevel [4ms]
2023-10-20 18:13:34.118 [info] > git rev-parse --show-toplevel [4ms]
