2023-10-16 06:05:55.026 [info] Log level: Info
2023-10-16 06:05:55.026 [info] Validating found git in: "git"
2023-10-16 06:05:55.109 [info] Using git "2.34.1" from "git"
2023-10-16 06:05:55.172 [info] > git rev-parse --show-toplevel [51ms]
2023-10-16 06:05:55.183 [info] > git rev-parse --show-toplevel [1ms]
2023-10-16 06:05:55.189 [info] > git rev-parse --show-toplevel [1ms]
2023-10-16 06:05:55.196 [info] > git rev-parse --show-toplevel [1ms]
2023-10-16 06:05:55.200 [info] > git rev-parse --show-toplevel [1ms]
2023-10-16 06:05:55.206 [info] > git rev-parse --show-toplevel [2ms]
2023-10-16 06:05:55.212 [info] > git rev-parse --show-toplevel [2ms]
2023-10-16 06:05:55.245 [info] > git rev-parse --show-toplevel [30ms]
2023-10-16 06:05:55.254 [info] > git rev-parse --show-toplevel [5ms]
2023-10-16 06:05:55.260 [info] > git rev-parse --show-toplevel [2ms]
2023-10-16 06:05:55.265 [info] > git rev-parse --show-toplevel [1ms]
2023-10-16 06:05:55.272 [info] > git rev-parse --show-toplevel [3ms]
2023-10-16 06:14:39.992 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:14:43.699 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:14:46.928 [info] > git rev-parse --show-toplevel [2ms]
2023-10-16 06:14:47.929 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:15:06.207 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:15:13.329 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:15:14.417 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:19:23.822 [info] > git rev-parse --show-toplevel [2ms]
2023-10-16 06:19:49.661 [info] > git rev-parse --show-toplevel [2ms]
2023-10-16 06:21:07.453 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:21:10.018 [info] > git rev-parse --show-toplevel [9ms]
2023-10-16 06:21:11.063 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:21:14.733 [info] > git rev-parse --show-toplevel [5ms]
2023-10-16 06:23:01.246 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:24:08.024 [info] > git rev-parse --show-toplevel [2ms]
2023-10-16 06:24:24.044 [info] > git rev-parse --show-toplevel [5ms]
2023-10-16 06:24:25.755 [info] > git rev-parse --show-toplevel [5ms]
2023-10-16 06:25:04.941 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:25:16.001 [info] > git rev-parse --show-toplevel [5ms]
2023-10-16 06:28:58.550 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:29:01.607 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:29:39.701 [info] > git rev-parse --show-toplevel [7ms]
2023-10-16 06:29:41.729 [info] > git rev-parse --show-toplevel [2ms]
2023-10-16 06:29:43.328 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:29:47.187 [info] > git rev-parse --show-toplevel [3ms]
2023-10-16 06:29:49.063 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:31:09.922 [info] > git rev-parse --show-toplevel [3ms]
2023-10-16 06:33:59.603 [info] > git rev-parse --show-toplevel [6ms]
2023-10-16 06:34:06.084 [info] > git rev-parse --show-toplevel [5ms]
2023-10-16 06:34:10.649 [info] > git rev-parse --show-toplevel [5ms]
2023-10-16 06:34:34.520 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:34:45.167 [info] > git rev-parse --show-toplevel [6ms]
2023-10-16 06:34:52.683 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:35:19.161 [info] > git rev-parse --show-toplevel [3ms]
2023-10-16 06:35:38.437 [info] > git rev-parse --show-toplevel [4ms]
2023-10-16 06:35:43.688 [info] > git rev-parse --show-toplevel [3ms]
