2023-11-16 18:18:06.129 [info] Log level: Info
2023-11-16 18:18:06.129 [info] Validating found git in: "git"
2023-11-16 18:18:06.129 [info] Using git "2.34.1" from "git"
2023-11-16 18:18:06.129 [info] > git rev-parse --show-toplevel [32ms]
2023-11-16 18:18:06.129 [info] > git rev-parse --show-toplevel [1ms]
2023-11-16 18:18:06.129 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:18:06.129 [info] > git rev-parse --show-toplevel [2ms]
2023-11-16 18:18:06.130 [info] > git rev-parse --show-toplevel [1ms]
2023-11-16 18:18:06.144 [info] > git rev-parse --show-toplevel [10ms]
2023-11-16 18:18:06.155 [info] > git rev-parse --show-toplevel [7ms]
2023-11-16 18:18:06.161 [info] > git rev-parse --show-toplevel [1ms]
2023-11-16 18:18:06.167 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:18:06.172 [info] > git rev-parse --show-toplevel [2ms]
2023-11-16 18:18:06.177 [info] > git rev-parse --show-toplevel [2ms]
2023-11-16 18:18:06.182 [info] > git rev-parse --show-toplevel [1ms]
2023-11-16 18:19:54.397 [info] > git rev-parse --show-toplevel [8ms]
2023-11-16 18:20:52.240 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:20:53.515 [info] > git rev-parse --show-toplevel [1ms]
2023-11-16 18:20:54.305 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:20:58.281 [info] > git rev-parse --show-toplevel [7ms]
2023-11-16 18:21:01.465 [info] > git rev-parse --show-toplevel [7ms]
2023-11-16 18:21:09.592 [info] > git rev-parse --show-toplevel [2ms]
2023-11-16 18:21:10.852 [info] > git rev-parse --show-toplevel [89ms]
2023-11-16 18:21:32.399 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:22:31.100 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:22:52.313 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:22:56.264 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:23:43.998 [info] > git rev-parse --show-toplevel [14ms]
2023-11-16 18:24:32.297 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:25:17.743 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:26:22.903 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:26:27.861 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:26:34.263 [info] > git rev-parse --show-toplevel [2ms]
2023-11-16 18:29:58.863 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:32:12.416 [info] > git rev-parse --show-toplevel [8ms]
2023-11-16 18:32:13.589 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:32:14.516 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:32:26.592 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:32:31.900 [info] > git rev-parse --show-toplevel [5ms]
2023-11-16 18:33:32.757 [info] > git rev-parse --show-toplevel [8ms]
2023-11-16 18:34:00.205 [info] > git rev-parse --show-toplevel [2ms]
2023-11-16 18:34:02.009 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:34:50.524 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:34:53.076 [info] > git rev-parse --show-toplevel [9ms]
2023-11-16 18:35:07.974 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:35:17.346 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:35:50.507 [info] > git rev-parse --show-toplevel [5ms]
2023-11-16 18:35:51.374 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:35:52.144 [info] > git rev-parse --show-toplevel [9ms]
2023-11-16 18:35:52.770 [info] > git rev-parse --show-toplevel [7ms]
2023-11-16 18:35:54.012 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:35:57.154 [info] > git rev-parse --show-toplevel [5ms]
2023-11-16 18:36:42.406 [info] > git rev-parse --show-toplevel [2ms]
2023-11-16 18:40:21.463 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:40:23.700 [info] > git rev-parse --show-toplevel [2ms]
2023-11-16 18:40:27.766 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:40:31.383 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:40:37.866 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:41:49.429 [info] > git rev-parse --show-toplevel [16ms]
2023-11-16 18:41:58.211 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:42:04.816 [info] > git rev-parse --show-toplevel [9ms]
2023-11-16 18:42:10.137 [info] > git rev-parse --show-toplevel [48ms]
2023-11-16 18:42:11.558 [info] > git rev-parse --show-toplevel [12ms]
2023-11-16 18:42:40.000 [info] > git rev-parse --show-toplevel [7ms]
2023-11-16 18:43:01.420 [info] > git rev-parse --show-toplevel [7ms]
2023-11-16 18:43:05.405 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:43:08.963 [info] > git rev-parse --show-toplevel [16ms]
2023-11-16 18:43:37.967 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:43:46.342 [info] > git rev-parse --show-toplevel [1ms]
2023-11-16 18:43:47.100 [info] > git rev-parse --show-toplevel [9ms]
2023-11-16 18:43:59.649 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:44:11.058 [info] > git rev-parse --show-toplevel [7ms]
2023-11-16 18:44:16.756 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:44:19.935 [info] > git rev-parse --show-toplevel [7ms]
2023-11-16 18:44:20.917 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:44:23.944 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:44:26.331 [info] > git rev-parse --show-toplevel [5ms]
2023-11-16 18:44:37.113 [info] > git rev-parse --show-toplevel [5ms]
2023-11-16 18:44:43.311 [info] > git rev-parse --show-toplevel [6ms]
2023-11-16 18:45:04.818 [info] > git rev-parse --show-toplevel [9ms]
2023-11-16 18:45:45.028 [info] > git rev-parse --show-toplevel [7ms]
2023-11-16 18:45:58.931 [info] > git rev-parse --show-toplevel [8ms]
2023-11-16 18:46:50.330 [info] > git rev-parse --show-toplevel [10ms]
2023-11-16 18:46:55.478 [info] > git rev-parse --show-toplevel [11ms]
2023-11-16 18:48:28.294 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:53:31.213 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:53:47.304 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:56:02.959 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:56:17.613 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:56:18.503 [info] > git rev-parse --show-toplevel [4ms]
2023-11-16 18:56:22.215 [info] > git rev-parse --show-toplevel [3ms]
2023-11-16 18:58:05.047 [info] > git rev-parse --show-toplevel [2ms]
