2023-10-19 16:37:49.127 [info] Log level: Info
2023-10-19 16:37:49.127 [info] Validating found git in: "git"
2023-10-19 16:37:49.127 [info] Using git "2.34.1" from "git"
2023-10-19 16:37:49.127 [info] > git rev-parse --show-toplevel [81ms]
2023-10-19 16:37:49.133 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:37:49.138 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:37:49.143 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:37:49.149 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 16:37:49.154 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 16:37:49.158 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:37:49.163 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:37:49.173 [info] > git rev-parse --show-toplevel [6ms]
2023-10-19 16:37:49.178 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:37:49.191 [info] > git rev-parse --show-toplevel [9ms]
2023-10-19 16:37:49.196 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 16:37:49.254 [info] > git rev-parse --show-toplevel [47ms]
2023-10-19 16:37:49.856 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 16:37:49.900 [info] > git rev-parse --show-toplevel [23ms]
2023-10-19 16:37:49.928 [info] > git rev-parse --show-toplevel [22ms]
2023-10-19 16:38:18.777 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 16:39:14.650 [info] > git rev-parse --show-toplevel [6ms]
2023-10-19 16:39:15.499 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 16:39:16.458 [info] > git rev-parse --show-toplevel [7ms]
2023-10-19 16:39:23.230 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 16:39:26.239 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 16:43:33.373 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:43:34.320 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 16:44:51.247 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 16:44:56.323 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 16:45:22.049 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:47:12.593 [info] > git rev-parse --show-toplevel [8ms]
2023-10-19 16:48:28.350 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 16:48:36.510 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 16:52:05.178 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 16:52:09.506 [info] > git rev-parse --show-toplevel [7ms]
2023-10-19 16:52:12.088 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 16:54:17.143 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 16:54:20.196 [info] > git rev-parse --show-toplevel [6ms]
2023-10-19 16:55:10.257 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 16:55:10.634 [info] > git rev-parse --show-toplevel [7ms]
2023-10-19 16:59:01.770 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:59:05.203 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 16:59:37.427 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:00:11.714 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:00:15.836 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:00:24.163 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:00:29.443 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:04:53.857 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:04:55.663 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:04:57.767 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:05:27.827 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:05:44.335 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:05:47.617 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:06:39.625 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:10:04.063 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:10:29.043 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:10:36.372 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:11:09.790 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:11:10.447 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:11:14.394 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:11:23.174 [info] > git rev-parse --show-toplevel [0ms]
2023-10-19 17:11:41.895 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:11:56.795 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:12:52.233 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:12:59.500 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:13:02.856 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:14:35.610 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:14:42.201 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:14:43.075 [info] > git rev-parse --show-toplevel [7ms]
2023-10-19 17:14:45.447 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:16:33.577 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:16:52.657 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:17:23.309 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:17:35.820 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:19:55.877 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:21:13.223 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:22:08.143 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:25:01.639 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:25:07.349 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:27:46.863 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:28:20.494 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:28:21.100 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:28:24.775 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:28:30.078 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:28:36.935 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:28:39.057 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:28:40.735 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:28:42.053 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:28:43.801 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:28:45.509 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:28:48.528 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:28:51.111 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:28:52.203 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:29:01.349 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:29:02.345 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:29:19.685 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:30:20.602 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:30:22.352 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:30:47.510 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:31:00.971 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:31:13.296 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:42:35.943 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:44:15.203 [info] > git rev-parse --show-toplevel [7ms]
2023-10-19 17:44:35.773 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:45:31.250 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:47:05.837 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 17:47:06.348 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:47:51.333 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:47:53.545 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:47:54.040 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:47:55.109 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:47:59.110 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:48:01.749 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:51:39.279 [info] > git rev-parse --show-toplevel [8ms]
2023-10-19 17:51:44.099 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:52:11.295 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:52:35.712 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 17:52:48.970 [info] > git rev-parse --show-toplevel [6ms]
2023-10-19 17:52:57.218 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 17:53:28.001 [info] > git rev-parse --show-toplevel [6ms]
2023-10-19 17:54:37.107 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 17:54:44.719 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 17:54:51.838 [info] > git rev-parse --show-toplevel [5ms]
2023-10-19 18:00:53.060 [info] > git rev-parse --show-toplevel [2ms]
2023-10-19 18:01:00.434 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 18:01:03.482 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 18:01:27.071 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 18:01:53.556 [info] > git rev-parse --show-toplevel [7ms]
2023-10-19 18:03:45.233 [info] > git rev-parse --show-toplevel [1ms]
2023-10-19 18:04:56.507 [info] > git rev-parse --show-toplevel [3ms]
2023-10-19 18:04:57.121 [info] > git rev-parse --show-toplevel [4ms]
2023-10-19 18:05:00.600 [info] > git rev-parse --show-toplevel [4ms]
