2023-12-02 07:04:17.424 [info] Log level: Info
2023-12-02 07:04:17.424 [info] Validating found git in: "git"
2023-12-02 07:04:17.449 [info] Using git "2.34.1" from "git"
2023-12-02 07:04:17.537 [info] > git rev-parse --show-toplevel [71ms]
2023-12-02 07:04:17.560 [info] > git rev-parse --show-toplevel [1ms]
2023-12-02 07:04:17.576 [info] > git rev-parse --show-toplevel [12ms]
2023-12-02 07:04:17.597 [info] > git rev-parse --show-toplevel [6ms]
2023-12-02 07:04:17.603 [info] > git rev-parse --show-toplevel [2ms]
2023-12-02 07:04:17.614 [info] > git rev-parse --show-toplevel [2ms]
2023-12-02 07:04:17.619 [info] > git rev-parse --show-toplevel [2ms]
2023-12-02 07:04:17.624 [info] > git rev-parse --show-toplevel [2ms]
2023-12-02 07:04:17.629 [info] > git rev-parse --show-toplevel [1ms]
2023-12-02 07:04:17.634 [info] > git rev-parse --show-toplevel [1ms]
2023-12-02 07:04:17.638 [info] > git rev-parse --show-toplevel [1ms]
2023-12-02 07:04:17.642 [info] > git rev-parse --show-toplevel [1ms]
2023-12-02 08:02:55.716 [info] > git rev-parse --show-toplevel [78ms]
